tiempo_s,voltaje_mV
0.6644,0.0018
0.6684,0.0015
0.6724,0.0012
0.6765,0.0009
0.6805,0.0007
0.6845,0.0006
0.6885,0.0005
0.6925,0.0004
0.6965,0.0003
0.7005,0.0002
0.7045,0.0002
0.7085,0.0001
0.7125,0.0001
0.7165,0.0001
0.7205,0.0001
0.7245,0.0
0.7285,0.0
0.7325,0.0
0.7365,0.0
0.7405,0.0
0.7445,0.0
0.7485,0.0
0.7525,0.0
0.7565,0.0
0.7605,0.0
0.7645,0.0
0.7685,0.0
0.7725,0.0
0.7765,0.0
0.7805,0.0
0.7845,0.0
0.7885,0.0
0.7925,0.0
0.7965,0.0
0.8005,0.0
0.8045,0.0
0.8085,0.0
0.8125,0.0
0.8165,0.0
0.8205,0.0
0.8245,0.0
0.8286,0.0
0.8326,0.0
0.8366,0.0
0.8406,0.0
0.8446,0.0
0.8486,0.0
0.8526,0.0
0.8566,0.0
0.8606,0.0
0.8646,0.0
0.8686,0.0
0.8726,0.0
0.8766,0.0
0.8806,0.0
0.8846,0.0
0.8886,0.0
0.8926,0.0
0.8966,0.0
0.9006,0.0
0.9046,0.0
0.9086,0.0
0.9126,0.0
0.9166,0.0
0.9206,0.0
0.9246,0.0
0.9286,0.0
0.9326,0.0
0.9366,0.0
0.9406,0.0
0.9446,0.0
0.9486,0.0
0.9526,0.0
0.9566,0.0
0.9606,0.0
0.9646,0.0
0.9686,0.0
0.9726,0.0
0.9767,0.0
0.9807,0.0
0.9847,0.0
0.9887,0.0
0.9927,0.0
0.9967,0.0
1.0007,0.0
1.0047,0.0
1.0087,0.0
1.0127,0.0
1.0167,0.0
1.0207,0.0
1.0247,0.0
1.0287,0.0
1.0327,0.0
1.0367,0.0
1.0407,0.0
1.0447,0.0
1.0487,0.0
1.0527,0.0
1.0567,0.0
1.0607,0.0
1.0647,0.0
1.0687,0.0
1.0727,0.0
1.0767,0.0
1.0807,0.0
1.0847,0.0
1.0887,0.0
1.0927,0.0
1.0967,0.0
1.1007,0.0
1.1047,0.0
1.1087,0.0
1.1127,0.0
1.1167,0.0
1.1207,0.0
1.1247,0.0
1.1288,0.0
1.1328,0.0
1.1368,0.0
1.1408,0.0
1.1448,0.0
1.1488,0.0
1.1528,0.0
1.1568,0.0
1.1608,0.0
1.1648,0.0
1.1688,0.0
1.1728,0.0
1.1768,0.0
1.1808,0.0
1.1848,0.0
1.1888,0.0
1.1928,0.0
1.1968,0.0
1.2008,0.0
1.2048,0.0
1.2088,0.0
1.2128,0.0
1.2168,0.0
1.2208,0.0
1.2248,0.0
1.2288,0.0
1.2328,0.0
1.2368,0.0
1.2408,0.0
1.2448,0.0
1.2488,0.0
1.2528,0.0
1.2568,0.0
1.2608,0.0
1.2648,0.0
1.2688,0.0
1.2728,0.0
1.2769,0.0
1.2809,0.0
1.2849,0.0
1.2889,0.0
1.2929,0.0
1.2969,0.0
1.3009,0.0
1.3049,0.0
1.3089,0.0
1.3129,0.0
1.3169,0.0
1.3209,0.0
1.3249,0.0
1.3289,0.0
1.3329,0.0001
1.3369,0.0001
1.3409,0.0002
1.3449,0.0003
1.3489,0.0005
1.3529,0.0008
1.3569,0.0012
1.3609,0.0018
1.3649,0.0027
1.3689,0.0039
1.3729,0.0055
1.3769,0.0077
1.3809,0.0106
1.3849,0.0143
1.3889,0.0189
1.3929,0.0246
1.3969,0.0314
1.4009,0.0394
1.4049,0.0485
1.4089,0.0588
1.4129,0.0699
1.4169,0.0817
1.4209,0.0939
1.4249,0.1058
1.429,0.1173
1.433,0.1276
1.437,0.1365
1.441,0.1433
1.445,0.1479
1.449,0.1499
1.453,0.1493
1.457,0.146
1.461,0.1403
1.465,0.1324
1.469,0.1228
1.473,0.1119
1.477,0.1001
1.481,0.088
1.485,0.076
1.489,0.0645
1.493,0.0538
1.497,0.0443
1.501,0.0361
1.505,0.0296
1.509,0.0252
1.513,0.0236
1.517,0.0256
1.521,0.0329
1.525,0.0472
1.529,0.0715
1.533,0.1096
1.537,0.1665
1.541,0.2476
1.545,0.3567
1.549,0.4928
1.553,0.6477
1.557,0.8049
1.561,0.9429
1.565,1.0393
1.569,1.0773
1.573,1.0494
1.5771,0.9588
1.5811,0.8182
1.5851,0.6464
1.5891,0.4644
1.5931,0.291
1.5971,0.1408
1.6011,0.0223
1.6051,-0.0618
1.6091,-0.1136
1.6131,-0.1383
1.6171,-0.1424
1.6211,-0.1325
1.6251,-0.1144
1.6291,-0.0928
1.6331,-0.0708
1.6371,-0.0504
1.6411,-0.0327
1.6451,-0.0179
1.6491,-0.0058
1.6531,0.0039
1.6571,0.0119
1.6611,0.0187
1.6651,0.0248
1.6691,0.0306
1.6731,0.0364
1.6771,0.0424
1.6811,0.0489
1.6851,0.0558
1.6891,0.0634
1.6931,0.0716
1.6971,0.0805
1.7011,0.09
1.7051,0.1003
1.7091,0.1112
1.7131,0.1227
1.7171,0.1349
1.7211,0.1476
1.7252,0.1607
1.7292,0.1743
1.7332,0.1882
1.7372,0.2022
1.7412,0.2164
1.7452,0.2305
1.7492,0.2445
1.7532,0.2581
1.7572,0.2713
1.7612,0.2839
1.7652,0.2957
1.7692,0.3067
1.7732,0.3167
1.7772,0.3256
1.7812,0.3332
1.7852,0.3395
1.7892,0.3444
1.7932,0.3478
1.7972,0.3496
1.8012,0.3499
1.8052,0.3487
1.8092,0.3459
1.8132,0.3416
1.8172,0.3359
1.8212,0.3288
1.8252,0.3204
1.8292,0.3109
1.8332,0.3003
1.8372,0.2887
1.8412,0.2764
1.8452,0.2634
1.8492,0.25
1.8532,0.2361
1.8572,0.2221
1.8612,0.2079
1.8652,0.1938
1.8692,0.1798
1.8732,0.1661
1.8773,0.1528
1.8813,0.1399
1.8853,0.1275
1.8893,0.1157
1.8933,0.1046
1.8973,0.0941
1.9013,0.0842
1.9053,0.0751
1.9093,0.0667
1.9133,0.0589
1.9173,0.0518
1.9213,0.0454
1.9253,0.0396
1.9293,0.0343
1.9333,0.0297
1.9373,0.0255
1.9413,0.0219
1.9453,0.0186
1.9493,0.0158
1.9533,0.0134
1.9573,0.0113
1.9613,0.0094
1.9653,0.0079
1.9693,0.0065
1.9733,0.0054
1.9773,0.0044
1.9813,0.0036
1.9853,0.003
1.9893,0.0024
1.9933,0.0019
1.9973,0.0016
2.0013,0.0013
2.0053,0.001
2.0093,0.0008
2.0133,0.0006
2.0173,0.0005
2.0213,0.0004
2.0254,0.0003
2.0294,0.0002
2.0334,0.0002
2.0374,0.0001
2.0414,0.0001
2.0454,0.0001
2.0494,0.0001
2.0534,0.0
2.0574,0.0
2.0614,0.0
2.0654,0.0
2.0694,0.0
2.0734,0.0
2.0774,0.0
2.0814,0.0
2.0854,0.0
2.0894,0.0
2.0934,0.0
2.0974,0.0
2.1014,0.0
2.1054,0.0
2.1094,0.0
2.1134,0.0
2.1174,0.0
2.1214,0.0
2.1254,0.0
2.1294,0.0
2.1334,0.0
2.1374,0.0
2.1414,0.0
2.1454,0.0
2.1494,0.0
2.1534,0.0
2.1574,0.0
2.1614,0.0
2.1654,0.0
2.1694,0.0
2.1734,0.0
2.1775,0.0
2.1815,0.0
2.1855,0.0
2.1895,0.0
2.1935,0.0
2.1975,0.0
2.2015,0.0
2.2055,0.0
2.2095,0.0
2.2135,0.0
2.2175,0.0
2.2215,0.0
2.2255,0.0
2.2295,0.0
2.2335,0.0
2.2375,0.0
2.2415,0.0
2.2455,0.0
2.2495,0.0
2.2535,0.0
2.2575,0.0
2.2615,0.0
2.2655,0.0
2.2695,0.0
2.2735,0.0
2.2775,0.0
2.2815,0.0
2.2855,0.0
2.2895,0.0
2.2935,0.0
2.2975,0.0
2.3015,0.0
2.3055,0.0
2.3095,0.0
2.3135,0.0
2.3175,0.0
2.3215,0.0
2.3256,0.0
2.3296,0.0
2.3336,0.0
2.3376,0.0
2.3416,0.0
2.3456,0.0
2.3496,0.0
2.3536,0.0
2.3576,0.0
2.3616,0.0
2.3656,0.0
2.3696,0.0
2.3736,0.0
2.3776,0.0
2.3816,0.0
2.3856,0.0
2.3896,0.0
2.3936,0.0
2.3976,0.0
2.4016,0.0
2.4056,0.0
2.4096,0.0
2.4136,0.0
2.4176,0.0
2.4216,0.0
2.4256,0.0
2.4296,0.0
2.4336,0.0
2.4376,0.0
2.4416,0.0
2.4456,0.0
2.4496,0.0
2.4536,0.0
2.4576,0.0
2.4616,0.0
2.4656,0.0
2.4696,0.0
2.4736,0.0
2.4777,0.0
2.4817,0.0
2.4857,0.0
2.4897,0.0
2.4937,0.0
2.4977,0.0
2.5017,0.0
2.5057,0.0
2.5097,0.0
2.5137,0.0
2.5177,0.0
2.5217,0.0
2.5257,0.0
2.5297,0.0
2.5337,0.0
2.5377,0.0
2.5417,0.0
2.5457,0.0
2.5497,0.0
2.5537,0.0
2.5577,0.0
2.5617,0.0
2.5657,0.0
2.5697,0.0
2.5737,0.0
2.5777,0.0
2.5817,0.0
2.5857,0.0
2.5897,0.0
2.5937,0.0
2.5977,0.0
2.6017,0.0
2.6057,0.0
2.6097,0.0
2.6137,0.0
2.6177,0.0
2.6217,0.0
2.6258,0.0
2.6298,0.0
2.6338,0.0
2.6378,0.0
2.6418,0.0
2.6458,0.0
2.6498,0.0
2.6538,0.0
2.6578,0.0
2.6618,0.0001
2.6658,0.0001
2.6698,0.0002
2.6738,0.0003
2.6778,0.0005
2.6818,0.0007
2.6858,0.0011
2.6898,0.0016
2.6938,0.0024
2.6978,0.0035
2.7018,0.005
2.7058,0.007
2.7098,0.0097
2.7138,0.0132
2.7178,0.0175
2.7218,0.0229
2.7258,0.0294
2.7298,0.037
2.7338,0.0459
2.7378,0.0558
2.7418,0.0668
2.7458,0.0784
2.7498,0.0905
2.7538,0.1025
2.7578,0.1142
2.7618,0.1249
2.7658,0.1342
2.7698,0.1417
2.7738,0.1469
2.7779,0.1496
2.7819,0.1497
2.7859,0.1472
2.7899,0.1421
2.7939,0.1348
2.7979,0.1256
2.8019,0.115
2.8059,0.1034
2.8099,0.0914
2.8139,0.0793
2.8179,0.0676
2.8219,0.0567
2.8259,0.0468
2.8299,0.0382
2.8339,0.0312
2.8379,0.0262
2.8419,0.0237
2.8459,0.0246
2.8499,0.0303
2.8539,0.0424
2.8579,0.0635
2.8619,0.0973
2.8659,0.1484
2.8699,0.2223
2.8739,0.3235
2.8779,0.4526
2.8819,0.6035
2.8859,0.7621
2.8899,0.9078
2.8939,1.0177
2.8979,1.0732
2.9019,1.0638
2.9059,0.9897
2.9099,0.8613
2.9139,0.6962
2.9179,0.5149
2.9219,0.3374
2.926,0.1797
2.93,0.0519
2.934,-0.0418
2.938,-0.1022
2.942,-0.1338
2.946,-0.1429
2.95,-0.1363
2.954,-0.12
2.958,-0.099
2.962,-0.0768
2.966,-0.0559
2.97,-0.0373
2.974,-0.0217
2.978,-0.0089
2.982,0.0014
2.986,0.0098
2.99,0.0169
2.994,0.0232
2.998,0.029
3.002,0.0348
3.006,0.0407
3.01,0.047
3.014,0.0538
3.018,0.0612
3.022,0.0693
3.026,0.0779
3.03,0.0873
3.034,0.0974
3.038,0.1081
3.042,0.1195
3.046,0.1315
3.05,0.144
3.054,0.157
3.058,0.1705
3.062,0.1843
3.066,0.1983
3.07,0.2125
3.074,0.2266
3.0781,0.2406
3.0821,0.2543
3.0861,0.2677
3.0901,0.2804
3.0941,0.2925
3.0981,0.3038
3.1021,0.3141
3.1061,0.3232
3.1101,0.3312
3.1141,0.3379
3.1181,0.3432
3.1221,0.347
3.1261,0.3493
3.1301,0.35
3.1341,0.3492
3.1381,0.3468
3.1421,0.343
3.1461,0.3376
3.1501,0.3309
3.1541,0.3229
3.1581,0.3136
3.1621,0.3033
3.1661,0.292
3.1701,0.2799
3.1741,0.2671
3.1781,0.2537
3.1821,0.24
3.1861,0.226
3.1901,0.2118
3.1941,0.1977
3.1981,0.1837
3.2021,0.1699
3.2061,0.1565
3.2101,0.1434
3.2141,0.1309
3.2181,0.119
3.2221,0.1076
3.2262,0.0969
3.2302,0.0869
3.2342,0.0776
3.2382,0.0689
3.2422,0.061
3.2462,0.0537
3.2502,0.0471
3.2542,0.0411
3.2582,0.0357
3.2622,0.0309
3.2662,0.0266
3.2702,0.0228
3.2742,0.0195
3.2782,0.0166
3.2822,0.014
3.2862,0.0118
3.2902,0.0099
3.2942,0.0083
3.2982,0.0069
3.3022,0.0057
3.3062,0.0047
3.3102,0.0038
3.3142,0.0031
3.3182,0.0026
3.3222,0.0021
3.3262,0.0017
3.3302,0.0013
3.3342,0.0011
3.3382,0.0008
3.3422,0.0007
3.3462,0.0005
3.3502,0.0004
3.3542,0.0003
3.3582,0.0003
3.3622,0.0002
3.3662,0.0002
3.3702,0.0001
3.3742,0.0001
3.3783,0.0001
3.3823,0.0001
3.3863,0.0
3.3903,0.0
3.3943,0.0
3.3983,0.0
3.4023,0.0
3.4063,0.0
3.4103,0.0
3.4143,0.0
3.4183,0.0
3.4223,0.0
3.4263,0.0
3.4303,0.0
3.4343,0.0
3.4383,0.0
3.4423,0.0
3.4463,0.0
3.4503,0.0
3.4543,0.0
3.4583,0.0
3.4623,0.0
3.4663,0.0
3.4703,0.0
3.4743,0.0
3.4783,0.0
3.4823,0.0
3.4863,0.0
3.4903,0.0
3.4943,0.0
3.4983,0.0
3.5023,0.0
3.5063,0.0
3.5103,0.0
3.5143,0.0
3.5183,0.0
3.5223,0.0
3.5264,0.0
3.5304,0.0
3.5344,0.0
3.5384,0.0
3.5424,0.0
3.5464,0.0
3.5504,0.0
3.5544,0.0
3.5584,0.0
3.5624,0.0
3.5664,0.0
3.5704,0.0
3.5744,0.0
3.5784,0.0
3.5824,0.0
3.5864,0.0
3.5904,0.0
3.5944,0.0
3.5984,0.0
3.6024,0.0
3.6064,0.0
3.6104,0.0
3.6144,0.0
3.6184,0.0
3.6224,0.0
3.6264,0.0
3.6304,0.0
3.6344,0.0
3.6384,0.0
3.6424,0.0
3.6464,0.0
3.6504,0.0
3.6544,0.0
3.6584,0.0
3.6624,0.0
3.6664,0.0
3.6704,0.0
3.6744,0.0
3.6785,0.0
3.6825,0.0
3.6865,0.0
3.6905,0.0
3.6945,0.0
3.6985,0.0
3.7025,0.0
3.7065,0.0
3.7105,0.0
3.7145,0.0
3.7185,0.0
3.7225,0.0
3.7265,0.0
3.7305,0.0
3.7345,0.0
3.7385,0.0
3.7425,0.0
3.7465,0.0
3.7505,0.0
3.7545,0.0
3.7585,0.0
3.7625,0.0
3.7665,0.0
3.7705,0.0
3.7745,0.0
3.7785,0.0
3.7825,0.0
3.7865,0.0
3.7905,0.0
3.7945,0.0
3.7985,0.0
3.8025,0.0
3.8065,0.0
3.8105,0.0
3.8145,0.0
3.8185,0.0
3.8225,0.0
3.8266,0.0
3.8306,0.0
3.8346,0.0
3.8386,0.0
3.8426,0.0
3.8466,0.0
3.8506,0.0
3.8546,0.0
3.8586,0.0
3.8626,0.0
3.8666,0.0
3.8706,0.0
3.8746,0.0
3.8786,0.0
3.8826,0.0
3.8866,0.0
3.8906,0.0
3.8946,0.0
3.8986,0.0
3.9026,0.0
3.9066,0.0
3.9106,0.0
3.9146,0.0
3.9186,0.0
3.9226,0.0
3.9266,0.0
3.9306,0.0
3.9346,0.0
3.9386,0.0
3.9426,0.0
3.9466,0.0
3.9506,0.0
3.9546,0.0
3.9586,0.0
3.9626,0.0
3.9666,0.0
3.9706,0.0
3.9746,0.0
3.9787,0.0
3.9827,0.0
3.9867,0.0
3.9907,0.0001
3.9947,0.0001
3.9987,0.0002
4.0027,0.0002
4.0067,0.0004
4.0107,0.0006
4.0147,0.001
4.0187,0.0015
4.0227,0.0022
4.0267,0.0032
4.0307,0.0046
4.0347,0.0064
4.0387,0.0089
4.0427,0.0121
4.0467,0.0162
4.0507,0.0213
4.0547,0.0274
4.0587,0.0348
4.0627,0.0433
4.0667,0.053
4.0707,0.0636
4.0747,0.0751
4.0787,0.0871
4.0827,0.0992
4.0867,0.111
4.0907,0.122
4.0947,0.1318
4.0987,0.1398
4.1027,0.1457
4.1067,0.1491
4.1107,0.15
4.1147,0.1481
4.1187,0.1438
4.1227,0.137
4.1268,0.1283
4.1308,0.1181
4.1348,0.1067
4.1388,0.0947
4.1428,0.0826
4.1468,0.0708
4.1508,0.0597
4.1548,0.0494
4.1588,0.0405
4.1628,0.033
4.1668,0.0274
4.1708,0.0241
4.1748,0.0239
4.1788,0.0281
4.1828,0.0382
4.1868,0.0566
4.1908,0.0864
4.1948,0.1321
4.1988,0.1991
4.2028,0.2924
4.2068,0.414
4.2108,0.56
4.2148,0.7183
4.2188,0.8699
4.2228,0.9919
4.2268,1.064
4.2308,1.0731
4.2348,1.0164
4.2388,0.9016
4.2428,0.7446
4.2468,0.5658
4.2508,0.3854
4.2548,0.2209
4.2588,0.0841
4.2628,-0.0192
4.2668,-0.0885
4.2708,-0.1276
4.2748,-0.1422
4.2789,-0.1393
4.2829,-0.1252
4.2869,-0.105
4.2909,-0.0829
4.2949,-0.0615
4.2989,-0.0422
4.3029,-0.0258
4.3069,-0.0122
4.3109,-0.0013
4.3149,0.0077
4.3189,0.0151
4.3229,0.0215
4.3269,0.0274
4.3309,0.0332
4.3349,0.039
4.3389,0.0452
4.3429,0.0519
4.3469,0.0591
4.3509,0.067
4.3549,0.0755
4.3589,0.0846
4.3629,0.0945
4.3669,0.105
4.3709,0.1162
4.3749,0.1281
4.3789,0.1405
4.3829,0.1534
4.3869,0.1667
4.3909,0.1804
4.3949,0.1944
4.3989,0.2085
4.4029,0.2227
4.4069,0.2367
4.4109,0.2505
4.4149,0.264
4.4189,0.277
4.4229,0.2892
4.427,0.3007
4.431,0.3113
4.435,0.3208
4.439,0.3291
4.443,0.3362
4.447,0.3418
4.451,0.3461
4.455,0.3488
4.459,0.3499
4.463,0.3496
4.467,0.3476
4.471,0.3442
4.475,0.3393
4.479,0.3329
4.483,0.3252
4.487,0.3163
4.491,0.3063
4.495,0.2953
4.499,0.2834
4.503,0.2707
4.507,0.2575
4.511,0.2439
4.515,0.2299
4.519,0.2158
4.523,0.2016
4.527,0.1876
4.531,0.1737
4.535,0.1602
4.539,0.147
4.543,0.1344
4.547,0.1222
4.551,0.1107
4.555,0.0998
4.559,0.0896
4.563,0.0801
4.567,0.0713
4.571,0.0631
4.5751,0.0557
4.5791,0.0489
4.5831,0.0427
4.5871,0.0372
4.5911,0.0322
4.5951,0.0278
4.5991,0.0239
4.6031,0.0204
4.6071,0.0174
4.6111,0.0147
4.6151,0.0124
4.6191,0.0104
4.6231,0.0087
4.6271,0.0072
4.6311,0.006
4.6351,0.005
4.6391,0.0041
4.6431,0.0033
4.6471,0.0027
4.6511,0.0022
4.6551,0.0018
4.6591,0.0014
4.6631,0.0011
4.6671,0.0009
4.6711,0.0007
4.6751,0.0006
4.6791,0.0004
4.6831,0.0003
4.6871,0.0003
4.6911,0.0002
4.6951,0.0002
4.6991,0.0001
4.7031,0.0001
4.7071,0.0001
4.7111,0.0001
4.7151,0.0
4.7191,0.0
4.7231,0.0
4.7272,0.0
4.7312,0.0
4.7352,0.0
4.7392,0.0
4.7432,0.0
4.7472,0.0
4.7512,0.0
4.7552,0.0
4.7592,0.0
4.7632,0.0
4.7672,0.0
4.7712,0.0
4.7752,0.0
4.7792,0.0
4.7832,0.0
4.7872,0.0
4.7912,0.0
4.7952,0.0
4.7992,0.0
4.8032,0.0
4.8072,0.0
4.8112,0.0
4.8152,0.0
4.8192,0.0
4.8232,0.0
4.8272,0.0
4.8312,0.0
4.8352,0.0
4.8392,0.0
4.8432,0.0
4.8472,0.0
4.8512,0.0
4.8552,0.0
4.8592,0.0
4.8632,0.0
4.8672,0.0
4.8712,0.0
4.8753,0.0
4.8793,0.0
4.8833,0.0
4.8873,0.0
4.8913,0.0
4.8953,0.0
4.8993,0.0
4.9033,0.0
4.9073,0.0
4.9113,0.0
4.9153,0.0
4.9193,0.0
4.9233,0.0
4.9273,0.0
4.9313,0.0
4.9353,0.0
4.9393,0.0
4.9433,0.0
4.9473,0.0
4.9513,0.0
4.9553,0.0
4.9593,0.0
4.9633,0.0
4.9673,0.0
4.9713,0.0
4.9753,0.0
4.9793,0.0
4.9833,0.0
4.9873,0.0
4.9913,0.0
4.9953,0.0
4.9993,0.0
5.0033,0.0
5.0073,0.0
5.0113,0.0
5.0153,0.0
5.0193,0.0
5.0233,0.0
5.0274,0.0
5.0314,0.0
5.0354,0.0
5.0394,0.0
5.0434,0.0
5.0474,0.0
5.0514,0.0
5.0554,0.0
5.0594,0.0
5.0634,0.0
5.0674,0.0
5.0714,0.0
5.0754,0.0
5.0794,0.0
5.0834,0.0
5.0874,0.0
5.0914,0.0
5.0954,0.0
5.0994,0.0
5.1034,0.0
5.1074,0.0
5.1114,0.0
5.1154,0.0
5.1194,0.0
5.1234,0.0
5.1274,0.0
5.1314,0.0
5.1354,0.0
5.1394,0.0
5.1434,0.0
5.1474,0.0
5.1514,0.0
5.1554,0.0
5.1594,0.0
5.1634,0.0
5.1674,0.0
5.1714,0.0
5.1755,0.0
5.1795,0.0
5.1835,0.0
5.1875,0.0
5.1915,0.0
5.1955,0.0
5.1995,0.0
5.2035,0.0
5.2075,0.0
5.2115,0.0
5.2155,0.0
5.2195,0.0
5.2235,0.0
5.2275,0.0
5.2315,0.0
5.2355,0.0
5.2395,0.0
5.2435,0.0
5.2475,0.0
5.2515,0.0
5.2555,0.0
5.2595,0.0
5.2635,0.0
5.2675,0.0
5.2715,0.0
5.2755,0.0
5.2795,0.0
5.2835,0.0
5.2875,0.0
5.2915,0.0
5.2955,0.0
5.2995,0.0
5.3035,0.0
5.3075,0.0
5.3115,0.0
5.3155,0.0
5.3195,0.0
5.3235,0.0
5.3276,0.0
5.3316,0.0
5.3356,0.0
5.3396,0.0
5.3436,0.0
5.3476,0.0
5.3516,0.0
5.3556,0.0
5.3596,0.0
5.3636,0.0
5.3676,0.0
5.3716,0.0
5.3756,0.0
5.3796,0.0
5.3836,0.0
5.3876,0.0
5.3916,0.0
5.3956,0.0
5.3996,0.0
5.4036,0.0
5.4076,0.0
5.4116,0.0
5.4156,0.0
5.4196,0.0
5.4236,0.0
5.4276,0.0
5.4316,0.0
5.4356,0.0
5.4396,0.0
5.4436,0.0
5.4476,0.0
5.4516,0.0
5.4556,0.0
5.4596,0.0
5.4636,0.0
5.4676,0.0
5.4716,0.0
5.4757,0.0
5.4797,0.0
5.4837,0.0
5.4877,0.0
5.4917,0.0
5.4957,0.0
5.4997,0.0
5.5037,0.0
5.5077,0.0
5.5117,0.0
5.5157,0.0
5.5197,0.0
5.5237,0.0
5.5277,0.0
5.5317,0.0
5.5357,0.0
5.5397,0.0
5.5437,0.0
5.5477,0.0
5.5517,0.0
5.5557,0.0
5.5597,0.0
5.5637,0.0
5.5677,0.0
5.5717,0.0
5.5757,0.0
5.5797,0.0
5.5837,0.0
5.5877,0.0
5.5917,0.0
5.5957,0.0
5.5997,0.0
5.6037,0.0
5.6077,0.0
5.6117,0.0
5.6157,0.0
5.6197,0.0
5.6237,0.0
5.6278,0.0
5.6318,0.0
5.6358,0.0
5.6398,0.0
5.6438,0.0
5.6478,0.0
5.6518,0.0
5.6558,0.0
5.6598,0.0
5.6638,0.0
5.6678,0.0
5.6718,0.0
5.6758,0.0
5.6798,0.0
5.6838,0.0
5.6878,0.0
5.6918,0.0
5.6958,0.0
5.6998,0.0
5.7038,0.0
5.7078,0.0
5.7118,0.0
5.7158,0.0
5.7198,0.0
5.7238,0.0
5.7278,0.0
5.7318,0.0
5.7358,0.0
5.7398,0.0
5.7438,0.0
5.7478,0.0
5.7518,0.0
5.7558,0.0
5.7598,0.0
5.7638,0.0
5.7678,0.0
5.7718,0.0
5.7759,0.0
5.7799,0.0
5.7839,0.0
5.7879,0.0
5.7919,0.0
5.7959,0.0
5.7999,0.0
5.8039,0.0
5.8079,0.0
5.8119,0.0
5.8159,0.0
5.8199,0.0
5.8239,0.0
5.8279,0.0
5.8319,0.0
5.8359,0.0
5.8399,0.0
5.8439,0.0
5.8479,0.0
5.8519,0.0
5.8559,0.0
5.8599,0.0
5.8639,0.0
5.8679,0.0
5.8719,0.0
5.8759,0.0
5.8799,0.0
5.8839,0.0
5.8879,0.0
5.8919,0.0
5.8959,0.0
5.8999,0.0
5.9039,0.0
5.9079,0.0
5.9119,0.0
5.9159,0.0
5.9199,0.0
5.9239,0.0
5.928,0.0
5.932,0.0
5.936,0.0
5.94,0.0
5.944,0.0
5.948,0.0
5.952,0.0
